name,description,html_url,language,stargazers_count,updated_at
"fitran-web","Personal website project","https://github.com/MFitran/fitran-web","HTML",0,"2026-05-19T04:27:27Z"
"automatic-sliding-door-pid-system-control","","https://github.com/MFitran/automatic-sliding-door-pid-system-control","C++",0,"2026-05-12T06:31:17Z"
"21-aug-23-MFitran","This repository contains my final project for the RevoU Software Engineering Fundamental Course. The project is a landing page for a fictional educational institution, designed to demonstrate the core principles of web development.","https://github.com/revou-fundamental-course/21-aug-23-MFitran","HTML",0,"2026-05-11T11:47:07Z"
"predictive-maintenance-weibull-machine-learning","This repository explores the integration of Machine Learning with the Weibull Distribution to improve the accuracy of Remaining Useful Life (RUL) estimations. By treating the Weibull scale parameter ( λ ) as a dynamic target for regression, these projects bridge the gap between statistical reliability analysis and modern data-driven maintenance.","https://github.com/MFitran/predictive-maintenance-weibull-machine-learning","Jupyter Notebook",0,"2026-05-11T11:39:39Z"
"Hands-on_Machine_Learning_with_Scikit-Learn_Keras_and_TensorFlow","","https://github.com/MFitran/Hands-on_Machine_Learning_with_Scikit-Learn_Keras_and_TensorFlow","Jupyter Notebook",0,"2026-04-07T14:57:21Z"
"finalterm-deep-learning","","https://github.com/MFitran/finalterm-deep-learning","Jupyter Notebook",0,"2026-01-14T13:17:24Z"
"tubes_parkiran","this is an application of parking system","https://github.com/MFitran/tubes_parkiran","",0,"2026-01-11T22:45:17Z"
"midterm-deep-learning","","https://github.com/MFitran/midterm-deep-learning","Jupyter Notebook",0,"2025-12-06T02:46:10Z"
"TensorFlow_in_Action","","https://github.com/MFitran/TensorFlow_in_Action","Jupyter Notebook",0,"2025-11-18T06:13:57Z"
"TensorFlowInAction","","https://github.com/afandihrp/TensorFlowInAction","",0,"2025-11-15T01:17:20Z"
"Pengenalan_PemrogramanLanjut_Minggu-2","Isi latihan manage tim Pemrograman Lanjut","https://github.com/TamaDLaw/Pengenalan_PemrogramanLanjut_Minggu-2","Jupyter Notebook",0,"2025-10-02T02:45:37Z"
"Machine-Learning-1","","https://github.com/MFitran/Machine-Learning-1","Jupyter Notebook",0,"2025-06-20T16:54:32Z"
"Machine-Learning","Machine Learning Task 1","https://github.com/MFitran/Machine-Learning","Jupyter Notebook",0,"2025-05-12T02:52:33Z"
"Fuzzy-System-for-Determining-Project-Priorities","This project aims to develop a project prioritization system using fuzzy logic, which can help companies select and prioritize projects more effectively amidst information uncertainty. In a competitive business environment, sound decisions are critical to a company's success.","https://github.com/MFitran/Fuzzy-System-for-Determining-Project-Priorities","Python",0,"2025-02-02T18:40:57Z"
"Automatic-Trash-Bin","","https://github.com/MFitran/Automatic-Trash-Bin","C++",0,"2025-02-02T16:59:44Z"
"Tugas-Besar-Sistem-Kendal-Mekanika_Automatic-Sliding-Door","","https://github.com/MFitran/Tugas-Besar-Sistem-Kendal-Mekanika_Automatic-Sliding-Door","C++",0,"2025-01-10T15:11:43Z"
"Aplikasi-Login","Sebuah aplikasi dengan fitur login","https://github.com/MFitran/Aplikasi-Login","",0,"2023-08-29T04:50:04Z"
